"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"142","30.569189","10.40.219.42","","56430","10.40.201.225","","16086","UDP","60","","","","","","39","28","","8","56430  >  16086 Len=0"
"143","30.569206","10.40.201.225","","56430","10.40.219.42","","16086","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"144","31.374632","10.40.219.42","","56430","10.40.201.225","","1066","UDP","60","","","","","","49","28","","8","56430  >  1066 Len=0"
"145","31.374648","10.40.201.225","","56430","10.40.219.42","","1066","ICMP","70","","","","","3","64,49","56,28","3","8","Destination unreachable (Port unreachable)"
"146","32.179308","10.40.219.42","","56430","10.40.201.225","","682","UDP","60","","","","","","54","28","","8","56430  >  682 Len=0"
"147","32.179325","10.40.201.225","","56430","10.40.219.42","","682","ICMP","70","","","","","3","64,54","56,28","3","8","Destination unreachable (Port unreachable)"
"148","32.985202","10.40.219.42","","56430","10.40.201.225","","20359","UDP","60","","","","","","36","28","","8","56430  >  20359 Len=0"
"149","33.789628","10.40.219.42","","56442","10.40.201.225","","1024","UDP","60","","","","","","45","28","","8","56442  >  1024 Len=0"
"150","33.789655","10.40.201.225","","56442","10.40.219.42","","1024","ICMP","70","","","","","3","64,45","56,28","3","8","Destination unreachable (Port unreachable)"
"151","34.597511","10.40.219.42","","56431","10.40.201.225","","20359","UDP","60","","","","","","43","28","","8","56431  >  20359 Len=0"
"152","34.597528","10.40.201.225","","56431","10.40.219.42","","20359","ICMP","70","","","","","3","64,43","56,28","3","8","Destination unreachable (Port unreachable)"
"153","35.406201","10.40.219.42","","56430","10.40.201.225","","20425","UDP","60","","","","","","45","28","","8","56430  >  20425 Len=0"
"154","35.406217","10.40.201.225","","56430","10.40.219.42","","20425","ICMP","70","","","","","3","64,45","56,28","3","8","Destination unreachable (Port unreachable)"
"155","36.213978","10.40.219.42","","56430","10.40.201.225","","25280","UDP","60","","","","","","39","28","","8","56430  >  25280 Len=0"
"156","36.213994","10.40.201.225","","56430","10.40.219.42","","25280","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"157","37.015750","10.40.219.42","","56430","10.40.201.225","","20665","UDP","60","","","","","","53","28","","8","56430  >  20665 Len=0"
"158","37.825604","10.40.219.42","","56431","10.40.201.225","","20665","UDP","60","","","","","","37","28","","8","56431  >  20665 Len=0"
"159","37.825621","10.40.201.225","","56431","10.40.219.42","","20665","ICMP","70","","","","","3","64,37","56,28","3","8","Destination unreachable (Port unreachable)"
"160","38.628154","10.40.219.42","","56430","10.40.201.225","","42434","UDP","60","","","","","","47","28","","8","56430  >  42434 Len=0"
"161","38.628173","10.40.201.225","","56430","10.40.219.42","","42434","ICMP","70","","","","","3","64,47","56,28","3","8","Destination unreachable (Port unreachable)"
"162","39.429290","10.40.219.42","","56430","10.40.201.225","","39217","UDP","60","","","","","","49","28","","8","56430  >  39217 Len=0"
"163","39.429307","10.40.201.225","","56430","10.40.219.42","","39217","ICMP","70","","","","","3","64,49","56,28","3","8","Destination unreachable (Port unreachable)"
"164","40.238869","10.40.219.42","","56430","10.40.201.225","","49","UDP","60","","","","","","50","28","","8","56430  >  49 Len=0"
"165","40.238885","10.40.201.225","","56430","10.40.219.42","","49","ICMP","70","","","","","3","64,50","56,28","3","8","Destination unreachable (Port unreachable)"
"166","41.040654","10.40.219.42","","56430","10.40.201.225","","1484","UDP","60","","","","","","56","28","","8","56430  >  1484 Len=0"
"167","41.851654","10.40.219.42","","56431","10.40.201.225","","1484","UDP","60","","","","","","44","28","","8","56431  >  1484 Len=0"
"168","41.851671","10.40.201.225","","56431","10.40.219.42","","1484","ICMP","70","","","","","3","64,44","56,28","3","8","Destination unreachable (Port unreachable)"
"169","42.659896","10.40.219.42","","56430","10.40.201.225","","16972","UDP","60","","","","","","39","28","","8","56430  >  16972 Len=0"
"170","42.659913","10.40.201.225","","56430","10.40.219.42","","16972","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"171","43.461434","10.40.219.42","","56430","10.40.201.225","","31073","UDP","60","","","","","","54","28","","8","56430  >  31073 Len=0"
"172","43.461452","10.40.201.225","","56430","10.40.219.42","","31073","ICMP","70","","","","","3","64,54","56,28","3","8","Destination unreachable (Port unreachable)"
"173","44.262658","10.40.219.42","","56430","10.40.201.225","","997","UDP","60","","","","","","42","28","","8","56430  >  997 Len=0"
"174","44.262674","10.40.201.225","","56430","10.40.219.42","","997","ICMP","70","","","","","3","64,42","56,28","3","8","Destination unreachable (Port unreachable)"
"175","45.067157","10.40.219.42","","56430","10.40.201.225","","18081","UDP","60","","","","","","55","28","","8","56430  >  18081 Len=0"
"176","45.871738","10.40.219.42","","56443","10.40.201.225","","1024","UDP","60","","","","","","43","28","","8","56443  >  1024 Len=0"
"177","45.871755","10.40.201.225","","56443","10.40.219.42","","1024","ICMP","70","","","","","3","64,43","56,28","3","8","Destination unreachable (Port unreachable)"
"178","46.677076","10.40.219.42","","56431","10.40.201.225","","18081","UDP","60","","","","","","37","28","","8","56431  >  18081 Len=0"
"179","46.677092","10.40.201.225","","56431","10.40.219.42","","18081","ICMP","70","","","","","3","64,37","56,28","3","8","Destination unreachable (Port unreachable)"
"180","47.482783","10.40.219.42","","56430","10.40.201.225","","49194","UDP","60","","","","","","50","28","","8","56430  >  49194 Len=0"
"181","47.482800","10.40.201.225","","56430","10.40.219.42","","49194","ICMP","70","","","","","3","64,50","56,28","3","8","Destination unreachable (Port unreachable)"
"182","48.287961","10.40.219.42","","56430","10.40.201.225","","17762","UDP","60","","","","","","47","28","","8","56430  >  17762 Len=0"
"183","48.287978","10.40.201.225","","56430","10.40.219.42","","17762","ICMP","70","","","","","3","64,47","56,28","3","8","Destination unreachable (Port unreachable)"
"184","49.098718","10.40.219.42","","56430","10.40.201.225","","17787","UDP","60","","","","","","55","28","","8","56430  >  17787 Len=0"
"185","49.098735","10.40.201.225","","56430","10.40.219.42","","17787","ICMP","70","","","","","3","64,55","56,28","3","8","Destination unreachable (Port unreachable)"
"186","49.908893","10.40.219.42","","56430","10.40.201.225","","9","UDP","60","","","","","","37","28","","8","56430  >  9 Len=0"
"187","50.709204","10.40.219.42","","56431","10.40.201.225","","9","UDP","60","","","","","","53","28","","8","56431  >  9 Len=0"
"188","50.709221","10.40.201.225","","56431","10.40.219.42","","9","ICMP","70","","","","","3","64,53","56,28","3","8","Destination unreachable (Port unreachable)"
"189","51.511355","10.40.219.42","","56430","10.40.201.225","","17946","UDP","60","","","","","","40","28","","8","56430  >  17946 Len=0"
"190","51.511382","10.40.201.225","","56430","10.40.219.42","","17946","ICMP","70","","","","","3","64,40","56,28","3","8","Destination unreachable (Port unreachable)"
"191","52.315969","10.40.219.42","","56430","10.40.201.225","","44160","UDP","60","","","","","","57","28","","8","56430  >  44160 Len=0"
"192","52.315986","10.40.201.225","","56430","10.40.219.42","","44160","ICMP","70","","","","","3","64,57","56,28","3","8","Destination unreachable (Port unreachable)"
"193","53.122124","10.40.219.42","","56430","10.40.201.225","","33249","UDP","60","","","","","","43","28","","8","56430  >  33249 Len=0"
"194","53.122141","10.40.201.225","","56430","10.40.219.42","","33249","ICMP","70","","","","","3","64,43","56,28","3","8","Destination unreachable (Port unreachable)"
"195","53.927238","10.40.219.42","","56430","10.40.201.225","","20919","UDP","60","","","","","","52","28","","8","56430  >  20919 Len=0"
"196","53.927255","10.40.201.225","","56430","10.40.219.42","","20919","ICMP","70","","","","","3","64,52","56,28","3","8","Destination unreachable (Port unreachable)"
"197","54.730584","10.40.219.42","","56430","10.40.201.225","","62575","UDP","60","","","","","","39","28","","8","56430  >  62575 Len=0"
"198","54.730601","10.40.201.225","","56430","10.40.219.42","","62575","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"199","55.533397","10.40.219.42","","56430","10.40.201.225","","34758","UDP","60","","","","","","44","28","","8","56430  >  34758 Len=0"
"200","55.533414","10.40.201.225","","56430","10.40.219.42","","34758","ICMP","70","","","","","3","64,44","56,28","3","8","Destination unreachable (Port unreachable)"
"201","56.335270","10.40.219.42","","56430","10.40.201.225","","33354","UDP","60","","","","","","40","28","","8","56430  >  33354 Len=0"
