"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"107","2.074520","10.40.219.42","42582","","10.40.201.225","9290","","TCP","54","0x001","1","0","1024","","58","40","","","42582  >  9290 [FIN] Seq=1 Win=1024 Len=0"
"108","2.184596","10.40.219.42","42581","","10.40.201.225","1094","","TCP","54","0x001","1","0","1024","","41","40","","","42581  >  1094 [FIN] Seq=1 Win=1024 Len=0"
"109","2.184597","10.40.219.42","42581","","10.40.201.225","60020","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  60020 [FIN] Seq=1 Win=1024 Len=0"
"110","2.184598","10.40.219.42","42581","","10.40.201.225","1935","","TCP","54","0x001","1","0","1024","","58","40","","","42581  >  1935 [FIN] Seq=1 Win=1024 Len=0"
"111","2.184672","10.40.219.42","42581","","10.40.201.225","49165","","TCP","54","0x001","1","0","1024","","45","40","","","42581  >  49165 [FIN] Seq=1 Win=1024 Len=0"
"112","2.184673","10.40.219.42","42581","","10.40.201.225","1533","","TCP","54","0x001","1","0","1024","","39","40","","","42581  >  1533 [FIN] Seq=1 Win=1024 Len=0"
"113","2.184673","10.40.219.42","42581","","10.40.201.225","19780","","TCP","54","0x001","1","0","1024","","37","40","","","42581  >  19780 [FIN] Seq=1 Win=1024 Len=0"
"114","2.184673","10.40.219.42","42581","","10.40.201.225","9415","","TCP","54","0x001","1","0","1024","","57","40","","","42581  >  9415 [FIN] Seq=1 Win=1024 Len=0"
"115","2.184674","10.40.219.42","42581","","10.40.201.225","9207","","TCP","54","0x001","1","0","1024","","38","40","","","42581  >  9207 [FIN] Seq=1 Win=1024 Len=0"
"116","2.184674","10.40.219.42","42581","","10.40.201.225","2105","","TCP","54","0x001","1","0","1024","","44","40","","","42581  >  2105 [FIN] Seq=1 Win=1024 Len=0"
"117","2.184674","10.40.219.42","42581","","10.40.201.225","10012","","TCP","54","0x001","1","0","1024","","49","40","","","42581  >  10012 [FIN] Seq=1 Win=1024 Len=0"
"118","2.293726","10.40.219.42","42582","","10.40.201.225","10012","","TCP","54","0x001","1","0","1024","","58","40","","","42582  >  10012 [FIN] Seq=1 Win=1024 Len=0"
"119","2.293804","10.40.219.42","42582","","10.40.201.225","2105","","TCP","54","0x001","1","0","1024","","43","40","","","42582  >  2105 [FIN] Seq=1 Win=1024 Len=0"
"120","2.293804","10.40.219.42","42582","","10.40.201.225","9207","","TCP","54","0x001","1","0","1024","","48","40","","","42582  >  9207 [FIN] Seq=1 Win=1024 Len=0"
